BINID,BINLAT,BINLOT,BINLOAD,OTID,BINOT-ID,OTLAT,OTLON,COMMENTS
218,38.2593064052882,21.7486691065044,1091,218,1,38.2593064052882,21.7486691065044,
220,38.2600606750133,21.7492075371720,747,220,1,38.2600606750133,21.7492075371720,
221,38.2590044949134,21.7480610645752,923,221,1,38.2590044949134,21.7480610645752,
224,38.2565438663655,21.7470611541522,1022,224,1,38.2565438663655,21.7470611541522,
225,38.2569115003833,21.7462298791353,918,225,1,38.2569115003833,21.7462298791353,
225,38.2569115003833,21.7462298791353,818,225,2,38.2569115003833,21.7462298791353,
227,38.2572301769139,21.7460839878872,1008,227,1,38.2572301769139,21.7460839878872,
231,38.2596820316115,21.7390998365780,1034,231,1,38.2596820316115,21.7390998365780,
233,38.2593648949039,21.7392148543857,746,233,1,38.2593648949039,21.7392148543857,
234,38.2590561276480,21.7390403199848,846,234,1,38.2590561276480,21.7390403199848,
238,38.2604319380025,21.7400981027589,718,238,1,38.2604319380025,21.7400981027589,
241,38.2613081346175,21.7392809175064,742,241,1,38.2613081346175,21.7392809175064,
241,38.2613081346175,21.7392809175064,1042,241,2,38.2613081346175,21.7392809175064,
241,38.2613081346175,21.7392809175064,1071,241,3,38.2613081346175,21.7392809175064,
244,38.2625546848437,21.7393493556779,814,244,1,38.2625546848437,21.7393493556779,
245,38.2629955582785,21.7394370805411,995,245,1,38.2629955582785,21.7394370805411,
245,38.2629955582785,21.7394370805411,929,245,2,38.2629955582785,21.7394370805411,
247,38.2642434790565,21.7394638322834,911,247,1,38.2642434790565,21.7394638322834,
247,38.2642434790565,21.7394638322834,889,247,2,38.2642434790565,21.7394638322834,
249,38.2647164870674,21.7403099422888,919,249,1,38.2647164870674,21.7403099422888,
250,38.2650531258127,21.7400888599092,763,250,1,38.2650531258127,21.7400888599092,
250,38.2650531258127,21.7400888599092,964,250,2,38.2650531258127,21.7400888599092,
250,38.2650531258127,21.7400888599092,1042,250,3,38.2650531258127,21.7400888599092,
253,38.2647327760449,21.7415545500703,759,253,1,38.2647327760449,21.7415545500703,
253,38.2647327760449,21.7415545500703,813,253,2,38.2647327760449,21.7415545500703,
255,38.2645544038566,21.7433763129587,791,255,1,38.2645544038566,21.7433763129587,
255,38.2645544038566,21.7433763129587,1024,255,2,38.2645544038566,21.7433763129587,
258,38.2650611346886,21.7425055107836,929,258,1,38.2650611346886,21.7425055107836,
260,38.2654643336763,21.7416466820925,752,260,1,38.2654643336763,21.7416466820925,
263,38.2656974338477,21.7403311273075,849,263,1,38.2656974338477,21.7403311273075,
264,38.2658324426305,21.7397178069506,997,264,1,38.2658324426305,21.7397178069506,
265,38.2670225057210,21.7395329504719,1069,265,1,38.2670225057210,21.7395329504719,
267,38.2680004789078,21.7395760774292,743,267,1,38.2680004789078,21.7395760774292,
268,38.2678022081534,21.7406387385386,809,268,1,38.2678022081534,21.7406387385386,
269,38.2675190283777,21.7409885032963,1074,269,1,38.2675190283777,21.7409885032963,
270,38.2676485343557,21.7416478899083,790,270,1,38.2676485343557,21.7416478899083,
271,38.2677781730539,21.7419327397694,796,271,1,38.2677781730539,21.7419327397694,
271,38.2677781730539,21.7419327397694,953,271,2,38.2677781730539,21.7419327397694,
276,38.2682197355186,21.7412901803109,925,276,1,38.2682197355186,21.7412901803109,
277,38.2668977071613,21.7414446571414,866,277,1,38.2668977071613,21.7414446571414,
279,38.2668143177066,21.7424619099169,1032,279,1,38.2668143177066,21.7424619099169,
280,38.2666780358239,21.7431234646367,934,280,1,38.2666780358239,21.7431234646367,
281,38.2671731606044,21.7431125246262,1004,281,1,38.2671731606044,21.7431125246262,
285,38.2591984682540,21.7420975789850,851,285,1,38.2591984682540,21.7420975789850,
287,38.2587672385266,21.7418562133250,1074,287,1,38.2587672385266,21.7418562133250,
288,38.2571948590818,21.7408871225119,1081,288,1,38.2571948590818,21.7408871225119,
289,38.2585289224230,21.7473712924082,801,289,1,38.2585289224230,21.7473712924082,
290,38.2601026989383,21.7470513188114,1084,290,1,38.2601026989383,21.7470513188114,
290,38.2601026989383,21.7470513188114,1003,290,2,38.2601026989383,21.7470513188114,
292,38.2587013893551,21.7460371722213,895,292,1,38.2587013893551,21.7460371722213,
296,38.2571086612817,21.7455157332802,936,296,1,38.2571086612817,21.7455157332802,
296,38.2571086612817,21.7455157332802,1024,296,2,38.2571086612817,21.7455157332802,
299,38.2567605668301,21.7431172137405,956,299,1,38.2567605668301,21.7431172137405,
303,38.2582466906197,21.7447797390624,1051,303,1,38.2582466906197,21.7447797390624,
305,38.2581723210268,21.7451689662989,972,305,1,38.2581723210268,21.7451689662989,
308,38.2578656653881,21.7456034158142,935,308,1,38.2578656653881,21.7456034158142,
309,38.2575312188255,21.7468146485480,778,309,1,38.2575312188255,21.7468146485480,
310,38.2572591977754,21.7468942170330,1079,310,1,38.2572591977754,21.7468942170330,
310,38.2572591977754,21.7468942170330,814,310,2,38.2572591977754,21.7468942170330,
312,38.2579395735087,21.7469785937387,890,312,1,38.2579395735087,21.7469785937387,
314,38.2584445405692,21.7461173104044,774,314,1,38.2584445405692,21.7461173104044,
314,38.2584445405692,21.7461173104044,916,314,2,38.2584445405692,21.7461173104044,
320,38.2598800151338,21.7422309518965,791,320,1,38.2598800151338,21.7422309518965,
320,38.2598800151338,21.7422309518965,1081,320,2,38.2598800151338,21.7422309518965,
322,38.2596326384102,21.7438249690474,921,322,1,38.2596326384102,21.7438249690474,
323,38.2575567364716,21.7443890981011,1033,323,1,38.2575567364716,21.7443890981011,
325,38.2577639016391,21.7440637496750,1046,325,1,38.2577639016391,21.7440637496750,
327,38.2579113491853,21.7430368514238,957,327,1,38.2579113491853,21.7430368514238,
327,38.2579113491853,21.7430368514238,920,327,2,38.2579113491853,21.7430368514238,
329,38.2581711315581,21.7429029582764,1032,329,1,38.2581711315581,21.7429029582764,
331,38.2578586606022,21.7427712609985,1049,331,1,38.2578586606022,21.7427712609985,
333,38.2581460111982,21.7425865177333,1085,333,1,38.2581460111982,21.7425865177333,
333,38.2581460111982,21.7425865177333,910,333,2,38.2581460111982,21.7425865177333,
335,38.2611404323306,21.7400145404576,1040,335,1,38.2611404323306,21.7400145404576,
338,38.2707761229847,21.7401524392485,970,338,1,38.2707761229847,21.7401524392485,
339,38.2604712200682,21.7391925372132,953,339,1,38.2604712200682,21.7391925372132,
339,38.2604712200682,21.7391925372132,998,339,2,38.2604712200682,21.7391925372132,
339,38.2604712200682,21.7391925372132,887,339,3,38.2604712200682,21.7391925372132,
344,38.2593842552528,21.7403569685439,1055,344,1,38.2593842552528,21.7403569685439,
346,38.2589254660440,21.7415015716145,864,346,1,38.2589254660440,21.7415015716145,
346,38.2589254660440,21.7415015716145,966,346,2,38.2589254660440,21.7415015716145,
351,38.2595896777088,21.7426294483622,808,351,1,38.2595896777088,21.7426294483622,
352,38.2571475321633,21.7459277283141,945,352,1,38.2571475321633,21.7459277283141,
354,38.2578445990419,21.7432699462098,905,354,1,38.2578445990419,21.7432699462098,
355,38.2579557175008,21.7432846448123,868,355,1,38.2579557175008,21.7432846448123,
